iter	Passed	Remaining
0	3	381
1	5	264
2	6	218
3	8	193
4	9	177
5	10	162
6	11	152
7	12	148
8	14	146
9	15	142
10	16	135
11	17	131
12	18	126
13	19	122
14	20	118
15	22	115
16	23	114
17	24	111
18	25	108
19	26	104
20	26	100
21	27	97
22	28	94
23	29	92
24	30	90
25	30	87
26	31	85
27	32	83
28	33	81
29	33	79
30	34	77
31	36	76
32	36	74
33	37	73
34	38	71
35	39	69
36	39	68
37	41	67
38	42	66
39	43	64
40	43	63
41	44	62
42	45	60
43	46	58
44	47	57
45	47	56
46	48	55
47	50	54
48	51	53
49	51	51
50	52	50
51	53	49
52	54	48
53	55	46
54	56	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	70	30
70	71	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	83	15
84	84	14
85	85	13
86	86	12
87	86	11
88	88	10
89	89	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	93	3
96	94	2
97	97	1
98	98	0
99	99	0
