iter	RMSE
0	14.85541323
1	14.46854757
2	14.08819135
3	13.76684536
4	13.41326281
5	13.12694756
6	12.8223947
7	12.55177739
8	12.30649082
9	12.00186194
10	11.75119723
11	11.50797191
12	11.27073582
13	11.02857819
14	10.77802899
15	10.55621095
16	10.3511497
17	10.14001503
18	9.954405037
19	9.762201603
20	9.602901317
21	9.415031588
22	9.219559157
23	9.047146381
24	8.89161251
25	8.730225092
26	8.595353712
27	8.44511938
28	8.325163756
29	8.195910966
30	8.085754544
31	7.956425662
32	7.84658551
33	7.737634557
34	7.630785441
35	7.526968426
36	7.438542016
37	7.345009214
38	7.255904675
39	7.17603117
40	7.083491263
41	6.996876406
42	6.925808296
43	6.856264661
44	6.783606211
45	6.717692618
46	6.656400945
47	6.596368986
48	6.535774234
49	6.479464144
50	6.432412954
51	6.374475675
52	6.32068986
53	6.271292626
54	6.234061831
55	6.196579456
56	6.148972262
57	6.114443174
58	6.077731392
59	6.043331075
60	6.006665506
61	5.96729246
62	5.936797555
63	5.901598779
64	5.871277927
65	5.839038166
66	5.814018843
67	5.78461127
68	5.757956845
69	5.731830895
70	5.70627116
71	5.684932294
72	5.667184394
73	5.642686418
74	5.617660524
75	5.598561883
76	5.579906089
77	5.56262967
78	5.547189053
79	5.526361494
80	5.509857888
81	5.49366792
82	5.477087076
83	5.464481947
84	5.449011937
85	5.431470689
86	5.413008435
87	5.401983
88	5.388501935
89	5.375479272
90	5.363862963
91	5.352308381
92	5.341253374
93	5.331436551
94	5.326743667
95	5.31368043
96	5.302143698
97	5.291339113
98	5.277484097
99	5.265210048
100	5.257962604
101	5.246713654
102	5.237283961
103	5.225469005
104	5.216210843
105	5.205573003
106	5.198013456
107	5.188607656
108	5.178360466
109	5.168238414
110	5.161219841
111	5.154861527
112	5.148859263
113	5.141703411
114	5.134437331
115	5.127537304
116	5.126108639
117	5.119722642
118	5.114531683
119	5.106269409
120	5.09911174
121	5.092988114
122	5.085366507
123	5.079627572
124	5.072038657
125	5.065442519
126	5.053938308
127	5.049240538
128	5.04388343
129	5.039363679
130	5.035276338
131	5.03060179
132	5.023721568
133	5.017969442
134	5.010179538
135	5.006445572
136	5.000236125
137	4.995784904
138	4.991184973
139	4.986812753
140	4.98225485
141	4.977402165
142	4.971603248
143	4.968230805
144	4.964744924
145	4.960690747
146	4.958521232
147	4.956062087
148	4.949118572
149	4.946011683
150	4.942315441
151	4.937253399
152	4.930436485
153	4.924138081
154	4.919833823
155	4.915508803
156	4.912477801
157	4.90722906
158	4.903317774
159	4.898069092
160	4.892698097
161	4.890021375
162	4.883998322
163	4.877073466
164	4.872890603
165	4.869636055
166	4.865621661
167	4.864551563
168	4.8603902
169	4.853910012
170	4.849769788
171	4.844319542
172	4.838867389
173	4.833438946
174	4.828924157
175	4.824038662
176	4.820157202
177	4.812771937
178	4.808540543
179	4.803694908
180	4.800258508
181	4.795045296
182	4.789815499
183	4.787541144
184	4.782861498
185	4.775156559
186	4.771822652
187	4.767347065
188	4.762682743
189	4.758560492
190	4.75598067
191	4.751838799
192	4.745000626
193	4.740814337
194	4.736469714
195	4.730460363
196	4.72558905
197	4.720942752
198	4.71897526
199	4.714530347
200	4.712389488
201	4.710883233
202	4.708369566
203	4.703367905
204	4.700898798
205	4.694693238
206	4.69047373
207	4.686075359
208	4.679571652
209	4.677892793
210	4.672723909
211	4.667262894
212	4.662095046
213	4.655094933
214	4.652351035
215	4.649841611
216	4.646988138
217	4.643173289
218	4.637682496
219	4.634175242
220	4.630779949
221	4.627788187
222	4.623202076
223	4.619978333
224	4.617687542
225	4.612915219
226	4.609804162
227	4.605628945
228	4.601460072
229	4.600056075
230	4.597731775
231	4.593762527
232	4.5914069
233	4.58806004
234	4.583748577
235	4.576908665
236	4.572717073
237	4.570885948
238	4.568007427
239	4.566576914
